"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"103",3,0.01,8,0,0.6,3,0.5,1900,0.405811711164334,0.484544966404449,0.249834011556368,0.0101749819834674,0.0169456816521997,0.00353877427116459
"104",6,0.01,8,0,0.6,3,0.75,1900,0.405466671863444,0.48540128454022,0.2494401846724,0.010208089363958,0.0170072626393646,0.00358792496973889
"105",9,0.01,8,0,0.6,3,1,1900,0.405642593645135,0.484917383981326,0.249537386626919,0.0102823056723705,0.0172480829589718,0.00356505895620811
"106",12,0.01,8,0,0.8,3,0.5,1900,0.406554003106885,0.482734489198442,0.250518672254554,0.010152311601328,0.0168724241855067,0.00354761687019264
"107",15,0.01,8,0,0.8,3,0.75,1900,0.406210742378489,0.483582488576911,0.250092682820312,0.0101343820508508,0.0168577733279849,0.00352811424427308
"108",18,0.01,8,0,0.8,3,1,1900,0.406283197782235,0.483340737594452,0.250041286129767,0.0102804233326945,0.0172615683965006,0.00356029221901309
"109",1,0.01,8,0,0.6,3,0.5,2000,0.405778288505768,0.484633283006129,0.249945754768422,0.0106327030690753,0.0161447695054613,0.00399412532450535
"110",4,0.01,8,0,0.6,3,0.75,2000,0.405430150034349,0.48549505562631,0.249512669258878,0.0106715137980703,0.0162133928984553,0.00404012625453961
"111",7,0.01,8,0,0.6,3,1,2000,0.40548092292559,0.485314721356953,0.249526899580211,0.0107560247856875,0.0163712878532812,0.00405876085847987
"112",10,0.01,8,0,0.8,3,0.5,2000,0.406499750824411,0.482883045879387,0.250614211278685,0.0106130821378704,0.0162076930904564,0.00404557321843689
"113",13,0.01,8,0,0.8,3,0.75,2000,0.406162165370524,0.483705912518529,0.250192235783693,0.0106349616985411,0.0161732125983484,0.00404088486987426
"114",16,0.01,8,0,0.8,3,1,2000,0.406168161563944,0.483618232737963,0.250101367638622,0.0106498774383441,0.0161498802316763,0.00405563027636384
"115",2,0.01,8,0,0.6,3,0.5,2100,0.405967329514037,0.484185638813711,0.250129693271841,0.0106182995414247,0.0161252915470536,0.00399432194880486
"116",5,0.01,8,0,0.6,3,0.75,2100,0.405608152490402,0.485071031546815,0.249683805483978,0.0106528047722501,0.0161808432966308,0.00403304350322895
"117",8,0.01,8,0,0.6,3,1,2100,0.405610673314353,0.485001387795587,0.249647903299159,0.010748008071788,0.0163524900807255,0.00406290966653527
"118",11,0.01,8,0,0.8,3,0.5,2100,0.406751092357499,0.482290210718539,0.250851395596454,0.0105977999985616,0.0161903630788362,0.00405198455227936
"119",14,0.01,8,0,0.8,3,0.75,2100,0.406390755792742,0.483164189277478,0.250402501917062,0.0106325604672397,0.0161766400736832,0.00404527591007887
"120",17,0.01,8,0,0.8,3,1,2100,0.406333472565304,0.483222167886734,0.250255572134573,0.0106351424990954,0.0161273874039618,0.00405796120991716
"121",3,0.01,8,0,0.6,3,0.5,2500,0.406836262018414,0.482137010265402,0.250969278009392,0.0105848744136408,0.0160873892496713,0.00401982066646103
"122",6,0.01,8,0,0.6,3,0.75,2500,0.406375183940902,0.483258269426176,0.250409857971571,0.0106297065309352,0.0161509657701,0.00404834367759244
"123",9,0.01,8,0,0.6,3,1,2500,0.406170779369063,0.483657233578743,0.250176784256054,0.0107079643778912,0.0162339521438714,0.00407004496779129
"124",12,0.01,8,0,0.8,3,0.5,2500,0.407872200340796,0.479663021516052,0.251911518101735,0.0105674065213449,0.016167390523844,0.00405648362769811
